Wed Mar 16 15:18:41 2022    profiler/output.dat

         469879 function calls (466261 primitive calls) in 2.484 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       65    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:1366(postParse)
       65    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
       64    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\enum.py:986(__and__)
       64    0.000    0.000    0.001    0.000 C:\Program Files\Python310\lib\sre_compile.py:536(_compile_info)
       64    0.000    0.000    0.010    0.000 C:\Program Files\Python310\lib\sre_compile.py:598(_code)
       64    0.000    0.000    0.033    0.001 C:\Program Files\Python310\lib\sre_compile.py:759(compile)
       64    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\sre_parse.py:76(__init__)
       64    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\sre_parse.py:224(__init__)
       64    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\sre_parse.py:921(fix_flags)
       64    0.000    0.000    0.023    0.000 C:\Program Files\Python310\lib\sre_parse.py:937(parse)
       64    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
       62    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
       61    0.000    0.000    0.002    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3292(<listcomp>)
    61/11    0.000    0.000    0.003    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3288(leaveWhitespace)
       61    0.002    0.000    0.002    0.000 {method 'read' of '_io.BufferedReader' objects}
       60    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
       60    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
       60    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1522(_get_spec)
       58    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\packaging\version.py:461(_parse_local_version)
       58    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\packaging\version.py:474(_cmpkey)
       58    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
       57    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\sre_parse.py:267(getuntil)
       57    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
     56/1    0.000    0.000    2.484    2.484 {built-in method builtins.exec}
       55    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
       55    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
       55    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
       55    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
       55    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
       55    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:874(create_module)
     55/1    0.000    0.000    0.118    0.118 <frozen importlib._bootstrap_external>:877(exec_module)
       55    0.001    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:950(get_code)
       55    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1040(__init__)
       55    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1065(get_filename)
       55    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
       55    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
       55    0.008    0.000    0.008    0.000 {built-in method io.open_code}
       55    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       55    0.005    0.000    0.005    0.000 {built-in method marshal.loads}
    54/10    0.000    0.000    0.001    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3762(streamline)
       54    0.003    0.000    0.003    0.000 {built-in method nt.listdir}
       52    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\ntpath.py:203(splitext)
       52    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\genericpath.py:121(_splitext)
       52    0.000    0.000    0.005    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\__init__.py:2118(distributions_from_metadata)
       52    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:2826(__str__)
       50    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\__init__.py:2810(__getattr__)
       48    0.000    0.000    0.001    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:1948(__or__)
       48    0.000    0.000    0.001    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3540(__init__)
       46    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\sre_compile.py:492(_get_charset_prefix)
       46    0.000    0.000    0.000    0.000 {method 'zfill' of 'str' objects}
       45    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:1190(setName)
